,Action0_y,Action0_x,Action1_y,Action1_x,Action2_y,Action2_x,Action3_y,Action3_x
176,-1.3566,0.0,-1.3566,0.0,-1.3566,0.0,-1.3566,0.0
177,-1.3523999999999998,0.0,-1.3523999999999998,0.0,-1.3523999999999998,0.0,-1.3523999999999998,0.0
178,-1.3481999999999998,0.0,-1.3481999999999998,0.0,-1.3481999999999998,0.0,-1.3481999999999998,0.0
179,-1.3439999999999999,0.0,-1.3439999999999999,0.0,-1.3439999999999999,0.0,-1.3439999999999999,0.0
180,-1.3397999999999999,0.0,-1.3397999999999999,0.0,-1.3397999999999999,0.0,-1.3397999999999999,0.0
181,-1.3356,0.0,-1.3356,0.0,-1.3356,0.0,-1.3356,0.0
182,-1.3314,0.0,-1.3314,0.0,-1.3314,0.0,-1.3314,0.0
183,-1.3272,0.0,-1.3272,0.0,-1.3272,0.0,-1.3272,0.0
184,-1.323,0.0,-1.323,0.0,-1.323,0.0,-1.323,0.0
185,-1.3188,0.0,-1.3188,0.0,-1.3188,0.0,-1.3188,0.0
186,-1.3146,0.0,-1.3146,0.0,-1.3146,0.0,-1.3146,0.0
187,-1.3104,0.0,-1.3104,0.0,-1.3104,0.0,-1.3104,0.0
188,-1.3062,0.0,-1.3062,0.0,-1.3062,0.0,-1.3062,0.0
189,-1.302,0.0,-1.302,0.0,-1.302,0.0,-1.302,0.0
190,-1.2978,0.0,-1.2978,0.0,-1.2978,0.0,-1.2978,0.0
191,-1.2936,0.0,-1.2936,0.0,-1.2936,0.0,-1.2936,0.0
192,-1.2894,0.0,-1.2894,0.0,-1.2894,0.0,-1.2894,0.0
193,-1.2852000000000001,0.0,-1.2852000000000001,0.0,-1.2852000000000001,0.0,-1.2852000000000001,0.0
194,-1.281,0.0,-1.281,0.0,-1.281,0.0,-1.281,0.0
195,-1.2768,0.0,-1.2768,0.0,-1.2768,0.0,-1.2768,0.0
196,-1.2726,0.0,-1.2726,0.0,-1.2726,0.0,-1.2726,0.0
197,-1.2684,0.0,-1.2684,0.0,-1.2684,0.0,-1.2684,0.0
198,-1.2642,0.0,-1.2642,0.0,-1.2642,0.0,-1.2642,0.0
199,-1.26,0.0,-1.26,0.0,-1.26,0.0,-1.26,0.0
200,-1.2557999999999998,0.0,-1.2557999999999998,0.0,-1.2557999999999998,0.0,-1.2557999999999998,0.0
201,-1.2515999999999998,0.0,-1.2515999999999998,0.0,-1.2515999999999998,0.0,-1.2515999999999998,0.0
202,-1.2473999999999998,0.0,-1.2473999999999998,0.0,-1.2473999999999998,0.0,-1.2473999999999998,0.0
